Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
"Ansys, Inc.",Computer Software,"Oosterzele, Oost-Vlaanderen, Belgium",Belgium,2640.821,Personal Productivity Software,2020,0.90329987,52.370308,175.82909,91.71732
Ge Digital,Computer Software,"Chennai, Tamil Nadu, India",India,2867.9846,Database Management,2020,53.391987,53.97534,131.70653,85.37701
Weichert Realtors,Real Estate,"Norderstedt, Schleswig-Holstein, Germany",Germany,9532.951,Property Staging,2020,116.4658,61.43822,138.56947,0.5581516
Rbc Investor & Treasury Services,Financial Services,"Martinez, Buenos Aires, Argentina",Argentina,3492.3765, Portfolio Management,2020,166.01218,1.1160026,258.93683,99.693855
Orlando Health,Hospital & Health Care,"Drammen, Buskerud, Norway",Norway,6136.6826,Blood services,2020,97.469185,69.11452,106.45518,1.1085138
Old Mutual South Africa,Financial Services,"Benito Juarez, Distrito Federal, Mexico",Mexico,2366.641,Stock Market,2020,139.46045,35.577045,136.41313,0.9467294
Tyler Technologies,Computer Software,"Baar, Zug, Switzerland",Switzerland,2174.2317,Desktop Publishing,2020,60.06689,71.292625,138.86461,1.153333
Efi,Computer Software,"Crows Nest, Queensland, Australia",Australia,2455.5923,Application Software,2020,1.3692044,66.421005,186.88557,95.37554
Hcl Technologies (Infrastructure Services Division),Information Technology And Services,"Amadora, Lisbon, Portugal",Portugal,5350.132,Help Desk Support,2020,51.604584,67.20368,158.65262,93.13489
Hsbc,Financial Services,"Warsaw, Mazovia, Poland",Poland,92946.04,Banking,2020,198.87213,79.42588,64.90557,15.096363
"Rackspace, The #1 Managed Cloud Company",Information Technology And Services,"Foligno, Umbria, Italy",Italy,2681.1094,Email Services,2020,38.447857,49.690357,116.47633,0.18148786
The Keyes Company,Real Estate,"Malmö, Skåne, Sweden",Sweden,1788.0858,New Construction,2020,114.33713,82.43868,217.68977,87.33116
Itc Infotech,Information Technology And Services,"Göteborg, Vaestra Goetaland, Sweden",Sweden,3819.4773,Email Services,2020,40.25666,39.976624,57.577545,81.94342
Kbc Bank & Verzekering,Financial Services,"Yogyakarta, Yogyakarta, Indonesia",Indonesia,5500.503,Mutual Funds,2020,131.1236,61.983524,64.43852,72.48332
