Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Blackrock,Financial Services,"The Hague, Zuid-Holland, Netherlands",Netherlands,13226.34, Portfolio Management,2020,147.0701,75.44817,148.61276,92.9535
Rms,Computer Software,"Le Pont, Var, France",France,1462.6835,Database Management,2020,49.74397,61.146072,2.2587504,86.95335
Cleveland Clinic,Hospital & Health Care,"Carnaxide, Lisbon, Portugal",Portugal,23287.049,Emergency room services,2020,120.50868,66.679276,148.09045,87.565834
Allen Tate Realtors,Real Estate,"Egham, Surrey, United Kingdom",United Kingdom,1778.8975,Home inspection,2020,120.939095,44.129124,77.500854,0.7642849
Ge Healthcare,Hospital & Health Care,"Bucks, Pennsylvania, United States",Singapore,43920.688,Emergency room services,2020,128.22083,63.776024,113.10428,1.6456368
Cyient,Information Technology And Services,"Box, Uusimaa, Finland",Finland,11656.495,Cybersecurity,2020,84.06709,54.89582,146.44588,101.21802
Mckesson,Hospital & Health Care,"Surabaya, Jawa Timur, Indonesia",Indonesia,9728.107,Special surgical services,2020,107.29539,0.72067606,1.7925725,97.28559
Maxim Healthcare Services,Hospital & Health Care,"Brescia, Lombardia, Italy",Italy,7564.489,Emergency room services,2020,101.404526,50.434788,115.30267,76.17039
Mantech,Information Technology And Services,"Cirencester, Gloucestershire, United Kingdom",United Kingdom,2835.8335,Managed Print Services,2020,41.27859,52.97492,126.75459,82.07177
Commonwealth Bank,Financial Services,"Halifax, Calderdale, United Kingdom",United Kingdom,23851.285,Capital Restructuring,2020,187.51137,67.859985,153.48811,83.5451
Dell,Information Technology And Services,"Majadahonda, Madrid, Spain",Spain,48297.707,Cybersecurity,2020,86.507286,50.834816,108.358734,19.963528
Csra Inc,Information Technology And Services,"Basel, Basel-City, Switzerland",Switzerland,2316.4153,Backup & Disaster Recovery,2020,65.59187,92.37365,178.19824,1.1172445
Sabre Corporation,Information Technology And Services,"Wilrijk, Antwerp Province, Belgium",Belgium,6436.614,Cloud Services,2020,71.73139,87.03843,128.85097,95.95729
Willis Towers Watson,Financial Services,"Pune, Maharashtra, India",India,15751.531,Professional Advisory,2020,153.52048,63.35481,92.64186,66.21059
